"Line Id","Line Id"
"I agree to the Terms od Service","I agree to the Terms od Service"
"I agree to the ","I agree to the "
"Terms of Service","Terms of Service"
"Open Live Chat","Open Live Chat"
"Bank Transfer Payment","Bank Transfer Payment"
"Payment Method","Payment Method"
"Apply Now","Apply Now"
"To","To"
"Message","Message"
"Your order is successfull","Your order is successfull"
"However","However"
"If you have not worn this shoe before","If you have not worn this shoe before"
"Add to bag now","Add to bag now"
"Company","Company"
"State/Province","State/Province"
"Save in address book","Save in address book"
"Save Address","Save Address"
"Cancel","Cancel"
"Phone Number","Phone Number"
"Cart Subtotal","Cart Subtotal"
"My billing and shipping address are the same","My billing and shipping address are the same"
"Credit / Debit Card and Cash Payment (2C2P)","Credit / Debit Card and Cash Payment (2C2P)"
"Forgot Your Password?","Forgot Your Password?"
"Creating an account has many benefits:","Creating an account has many benefits:"
"See order and shipping status","See order and shipping status"
"You have not set a default billing address.","You have not set a default billing address."
"Add another shipping information","Add another shipping information"
"Current Password","Current Password"
"New Password","New Password"
"Confirm New Password","Confirm New Password"
"Change Email and Password","Change Email and Password"
"Apply now","Apply now"
"Attach File","Attach File"
"For delivery questions.","For delivery questions."
"Your search returned no results.","Your search returned no results."
"You have placed no orders.","You have placed no orders."
"Back","Back"
"Ship Here","Ship Here"
"Item in Cart","Item in Cart"
"Items in Cart","Items in Cart"
"Shipping & Handling","Shipping & Handling"
"Order Information","Order Information"
"Shipping Method","Shipping Method"
"Billing Address","Billing Address"
"Back to My Orders","Back to My Orders"
"Ordered","Ordered"
"Product Name","Product Name"
"Items Ordered","Items Ordered"
"Price","Price"
"Grand Total","Grand Total"
"Please notify me","Please notify me"
"Pending","Pending"
"Cancelled","Cancelled"
"Pending 2C2P","Pending 2C2P"
"Processing","Processing"
"Delivered","Delivered"
"View Order","View Order"
"Reorder","Reorder"
"Action","Action"
"Sorry","Sorry"
"Male","Male"
"Female","Female"
"Not Specified","Not Specified"
"Default Address Information","Default Address Information"
"Shipping Address Information","Shipping Address Information"
"Address 1:","Address 1:"
"street","street"
"Same as default address","Same as default address"
"Your balance is %s nuPoints","Your balance is %s nuPoints"
"You have no items in your wish list.","You have no items in your wish list."
"You have signed out and will go to our homepage in 5 seconds.","You have signed out and will go to our homepage in 5 seconds."
